date,prix_usd,juste_valeur_usd,ratio,moyenne_mobile_10m,tendance,valorisation,cible_eth,action,mult_strategie,mult_hodl
2017-01-01,8.18,38.32,0.213,11.04,BAISSE,bon marché,0.75,INIT,1.2334,1.3112
2017-02-01,10.72,43.77,0.245,10.95,BAISSE,bon marché,0.75,CONSERVER,1.7979,2.1113
2017-03-01,17.27,49.04,0.352,11.8,HAUSSE,bon marché,1.0,ACHETER,5.2778,6.1979
2017-04-01,50.69,55.28,0.917,15.48,HAUSSE,normale,1.0,CONSERVER,8.1601,9.5827
2017-05-01,78.37,61.73,1.27,22.08,HAUSSE,normale,1.0,CONSERVER,23.011,27.0225
2017-06-01,220.99,68.81,3.212,43.08,HAUSSE,chère,0.0,VENDRE,23.011,31.9423
2017-07-01,261.22,76.08,3.433,67.99,HAUSSE,chère,0.0,CONSERVER,23.011,27.6033
2017-08-01,225.74,84.03,2.686,89.24,HAUSSE,chère,0.0,CONSERVER,23.011,47.8856
2017-09-01,391.6,92.43,4.237,127.32,HAUSSE,chère,0.0,CONSERVER,23.011,37.0417
2017-10-01,302.92,100.99,2.999,156.77,HAUSSE,chère,0.0,CONSERVER,23.011,35.5252
2017-11-01,290.52,110.29,2.634,185.0,HAUSSE,chère,0.0,CONSERVER,23.011,56.4435
2017-12-01,461.59,119.74,3.855,230.09,HAUSSE,chère,0.0,CONSERVER,23.011,92.4536
2018-01-01,756.07,159.39,4.743,303.97,HAUSSE,chère,0.0,CONSERVER,23.011,124.6258
2018-02-01,1019.17,172.51,5.908,400.82,HAUSSE,chère,0.0,CONSERVER,23.011,106.2996
2018-03-01,869.3,184.87,4.702,479.91,HAUSSE,chère,0.0,CONSERVER,23.011,46.2305
2018-04-01,378.07,199.12,1.899,495.62,BAISSE,normale,0.75,ACHETER,36.4073,82.1159
2018-05-01,671.53,213.47,3.146,536.65,HAUSSE,chère,0.0,VENDRE,36.4073,70.7799
2018-06-01,578.83,228.91,2.529,571.96,HAUSSE,chère,0.0,CONSERVER,36.4073,55.2466
2018-07-01,451.8,244.43,1.848,577.98,BAISSE,normale,0.75,ACHETER,34.4263,51.2384
2018-08-01,419.02,261.07,1.605,589.59,BAISSE,normale,0.75,CONSERVER,26.7806,36.0657
2018-09-01,294.94,278.33,1.06,590.03,BAISSE,normale,0.75,CONSERVER,22.3526,28.1147
2018-10-01,229.92,295.64,0.778,566.86,BAISSE,normale,0.75,CONSERVER,20.0121,24.1896
2018-11-01,197.82,314.14,0.63,511.04,BAISSE,normale,0.75,CONSERVER,13.8781,14.3038
2018-12-01,116.97,332.66,0.352,420.82,BAISSE,bon marché,0.75,CONSERVER,15.8518,17.016
2019-01-01,139.15,404.22,0.344,347.81,BAISSE,bon marché,0.75,CONSERVER,13.0735,13.0395
2019-02-01,106.63,427.63,0.249,320.66,BAISSE,bon marché,0.75,CONSERVER,15.6692,16.4914
2019-03-01,134.86,449.42,0.3,267.0,BAISSE,bon marché,0.75,CONSERVER,16.2296,17.2778
2019-04-01,141.3,474.26,0.298,223.24,BAISSE,bon marché,0.75,CONSERVER,17.6878,19.3477
2019-05-01,158.22,499.02,0.317,193.88,BAISSE,bon marché,0.75,CONSERVER,26.652,32.4217
2019-06-01,265.14,525.35,0.505,178.5,HAUSSE,bon marché,1.0,ACHETER,29.5392,35.9339
2019-07-01,293.86,551.57,0.533,178.39,HAUSSE,bon marché,1.0,CONSERVER,21.8485,26.5783
2019-08-01,217.35,579.42,0.375,177.13,HAUSSE,bon marché,1.0,CONSERVER,17.2103,20.936
2019-09-01,171.21,608.04,0.282,174.47,BAISSE,bon marché,0.75,VENDRE,17.6192,21.5992
2019-10-01,176.64,636.49,0.278,180.44,BAISSE,bon marché,0.75,CONSERVER,18.1224,22.4218
2019-11-01,183.36,666.67,0.275,184.86,BAISSE,bon marché,0.75,CONSERVER,15.7518,18.511
2019-12-01,151.38,696.62,0.217,189.33,BAISSE,bon marché,0.75,CONSERVER,14.0804,15.8922
2020-01-01,129.96,561.36,0.232,188.84,BAISSE,bon marché,0.75,CONSERVER,18.4356,22.4463
2020-02-01,183.56,586.44,0.313,193.07,BAISSE,bon marché,0.75,CONSERVER,21.0766,26.7336
2020-03-01,218.62,610.46,0.358,199.11,HAUSSE,bon marché,1.0,ACHETER,13.0972,16.6125
2020-04-01,135.85,636.75,0.213,186.18,BAISSE,bon marché,0.75,VENDRE,18.6544,26.0109
2020-05-01,212.71,662.78,0.321,178.07,HAUSSE,bon marché,1.0,ACHETER,21.8432,30.4573
