date,prix_usd,juste_valeur_usd,ratio,moyenne_mobile_10m,tendance,valorisation,cible_btc,action,mult_strategie,mult_hodl
2015-01-01,314.78,410.48,0.767,468.45,BAISSE,chère,0.0,INIT,1.0,0.7215
2015-02-01,227.11,445.37,0.51,443.26,BAISSE,bon marché,0.75,ACHETER,1.1108,0.8281
2015-03-01,260.65,478.95,0.544,423.3,BAISSE,bon marché,0.75,CONSERVER,1.0677,0.7853
2015-04-01,247.19,518.55,0.477,385.01,BAISSE,bon marché,0.75,CONSERVER,1.0209,0.7394
2015-05-01,232.75,559.41,0.416,343.99,BAISSE,bon marché,0.75,CONSERVER,0.9898,0.7093
2015-06-01,223.28,604.4,0.369,306.67,BAISSE,bon marché,0.75,CONSERVER,1.1054,0.8198
2015-07-01,258.04,650.74,0.397,285.02,BAISSE,bon marché,0.75,CONSERVER,1.1813,0.8948
2015-08-01,281.67,701.69,0.401,274.89,HAUSSE,bon marché,1.0,ACHETER,0.956,0.7242
2015-09-01,227.96,755.89,0.302,265.25,BAISSE,bon marché,0.75,VENDRE,0.9883,0.7568
2015-10-01,238.23,811.6,0.294,251.17,BAISSE,bon marché,0.75,CONSERVER,1.2734,1.0479
2015-11-01,329.85,872.69,0.378,252.67,HAUSSE,bon marché,1.0,ACHETER,1.3996,1.1517
2015-12-01,362.53,935.39,0.388,266.21,HAUSSE,bon marché,1.0,CONSERVER,1.6781,1.3809
2016-01-01,434.68,853.72,0.509,283.62,HAUSSE,bon marché,1.0,CONSERVER,1.4331,1.1793
2016-02-01,371.22,915.6,0.405,296.02,HAUSSE,bon marché,1.0,CONSERVER,1.6709,1.375
2016-03-01,432.81,976.81,0.443,316.03,HAUSSE,bon marché,1.0,CONSERVER,1.6106,1.3254
2016-04-01,417.2,1045.94,0.399,335.42,HAUSSE,bon marché,1.0,CONSERVER,1.7566,1.4455
2016-05-01,455.01,1116.64,0.407,355.12,HAUSSE,bon marché,1.0,CONSERVER,2.0755,1.7079
2016-06-01,537.61,1193.82,0.45,380.71,HAUSSE,bon marché,1.0,CONSERVER,2.6156,2.1524
2016-07-01,677.51,1272.65,0.532,425.67,HAUSSE,bon marché,1.0,CONSERVER,2.3415,1.9268
2016-08-01,606.51,1358.59,0.446,462.49,HAUSSE,bon marché,1.0,CONSERVER,2.2091,1.8179
2016-09-01,572.22,1449.28,0.395,486.73,HAUSSE,bon marché,1.0,CONSERVER,2.3758,1.9551
2016-10-01,615.41,1541.76,0.399,512.02,HAUSSE,bon marché,1.0,CONSERVER,2.8204,2.3209
2016-11-01,730.58,1642.4,0.445,541.61,HAUSSE,bon marché,1.0,CONSERVER,2.9096,2.3943
2016-12-01,753.67,1744.91,0.432,579.85,HAUSSE,bon marché,1.0,CONSERVER,3.85,3.1681
2017-01-01,997.26,1631.33,0.611,636.3,HAUSSE,bon marché,1.0,CONSERVER,3.8124,3.1373
2017-02-01,987.53,1734.37,0.569,693.33,HAUSSE,bon marché,1.0,CONSERVER,4.7425,3.9026
2017-03-01,1228.46,1832.02,0.671,770.68,HAUSSE,bon marché,1.0,CONSERVER,4.2062,3.4613
2017-04-01,1089.52,1945.39,0.56,825.87,HAUSSE,bon marché,1.0,CONSERVER,5.5474,4.565
2017-05-01,1436.94,2060.57,0.697,901.81,HAUSSE,bon marché,1.0,CONSERVER,9.2649,7.6241
2017-06-01,2399.89,2185.46,1.098,1081.15,HAUSSE,bon marché,1.0,CONSERVER,9.3131,7.6637
2017-07-01,2412.37,2312.23,1.043,1265.16,HAUSSE,bon marché,1.0,CONSERVER,10.5293,8.6645
2017-08-01,2727.39,2449.55,1.113,1476.36,HAUSSE,bon marché,1.0,CONSERVER,18.9869,15.6243
2017-09-01,4918.17,2593.56,1.896,1895.12,HAUSSE,bon marché,1.0,CONSERVER,16.9173,13.9213
2017-10-01,4382.09,2739.52,1.6,2257.96,HAUSSE,bon marché,1.0,CONSERVER,25.9677,21.3689
2017-11-01,6726.41,2897.42,2.322,2830.88,HAUSSE,bon marché,1.0,CONSERVER,41.7287,34.3385
2017-12-01,10808.96,3057.33,3.535,3813.02,HAUSSE,chère,0.0,VENDRE,41.7287,42.7753
2018-01-01,13464.65,3302.37,4.077,5036.64,HAUSSE,chère,0.0,CONSERVER,41.7287,28.7184
2018-02-01,9039.87,3487.26,2.592,5831.67,HAUSSE,chère,0.0,CONSERVER,41.7287,34.7028
2018-03-01,10923.63,3661.55,2.983,6780.34,HAUSSE,chère,0.0,CONSERVER,41.7287,21.617
2018-04-01,6804.52,3862.85,1.762,7220.81,BAISSE,chère,0.0,CONSERVER,41.7287,28.821
2018-05-01,9072.17,4066.3,2.231,7886.79,HAUSSE,chère,0.0,CONSERVER,41.7287,23.8894
2018-06-01,7519.84,4285.77,1.755,8366.03,BAISSE,chère,0.0,CONSERVER,41.7287,20.2093
2018-07-01,6361.4,4507.4,1.411,8510.35,BAISSE,chère,0.0,CONSERVER,41.7287,24.1336
2018-08-01,7596.7,4746.3,1.601,8831.81,BAISSE,chère,0.0,CONSERVER,41.7287,22.8491
2018-09-01,7192.35,4995.58,1.44,8878.41,BAISSE,chère,0.0,CONSERVER,41.7287,20.8459
