date,nasdaq100,mom_6m,mom_8m,mom_10m,mom_12m,fenetres_positives,cible_lqq,action,mult_strategie,mult_hodl_lqq
1999-01-29,2127.19,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,INIT,1.3293,1.3293
1999-02-26,1925.28,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.073,1.073
1999-03-31,2106.39,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.273,1.273
1999-04-30,2136.39,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.2919,1.2919
1999-05-28,2089.7,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.2254,1.2254
1999-06-30,2296.77,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.4621,1.4621
1999-07-30,2270.93,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.4184,1.4184
1999-08-31,2396.87,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.5694,1.5694
1999-09-30,2407.9,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.5706,1.5706
1999-10-29,2637.44,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,1.869,1.869
1999-11-30,2966.71,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,2.3501,2.3501
1999-12-31,3707.83,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.6456,3.6456
2000-01-31,3570.05,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.2918,3.2918
2000-02-29,4266.94,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,4.6449,4.6449
2000-03-31,4397.84,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,4.8332,4.8332
2000-04-28,3773.18,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.3605,3.3605
2000-05-31,3324.08,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,2.5095,2.5095
2000-06-30,3763.79,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.1569,3.1569
2000-07-31,3609.35,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,2.8532,2.8532
2000-08-31,4077.59,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.619,3.619
2000-09-29,3570.61,BAISSE,HAUSSE,HAUSSE,HAUSSE,3,0.75,VENDRE,2.958,2.7377
2000-10-31,3282.3,BAISSE,HAUSSE,HAUSSE,HAUSSE,3,0.75,CONSERVER,2.5525,2.2373
2000-11-30,2506.54,BAISSE,BAISSE,BAISSE,HAUSSE,1,0.25,VENDRE,2.2754,1.2657
2000-12-29,2341.7,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,VENDRE,2.2754,1.0554
2001-01-31,2593.0,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,1.2235
2001-02-28,1908.32,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.6465
2001-03-30,1573.25,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.4213
2001-04-30,1855.15,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.5568
2001-05-31,1799.89,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.5132
2001-06-29,1830.19,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.5245
2001-07-31,1683.61,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.4366
2001-08-31,1469.7,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.3278
2001-09-28,1168.37,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.2033
2001-10-31,1364.78,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.2705
2001-11-30,1596.05,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2754,0.3661
2001-12-31,1577.05,BAISSE,HAUSSE,BAISSE,BAISSE,1,0.25,ACHETER,2.2555,0.3533
2002-01-31,1550.17,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,VENDRE,2.2555,0.3384
2002-02-28,1359.22,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2555,0.2577
2002-03-28,1452.81,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,2.2555,0.2914
2002-04-30,1277.07,HAUSSE,BAISSE,BAISSE,BAISSE,1,0.25,ACHETER,2.1224,0.2227
2002-05-31,1208.34,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,VENDRE,2.1224,0.1949
2002-06-28,1051.41,BAISSE,HAUSSE,BAISSE,BAISSE,1,0.25,ACHETER,1.9888,0.1458
2002-07-31,962.1,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,VENDRE,1.9888,0.1182
2002-08-30,942.38,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,1.9888,0.111
2002-09-30,832.52,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,1.9888,0.0854
2002-10-31,989.54,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,1.9888,0.1184
2002-11-29,1116.1,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,1.9888,0.1485
2002-12-31,984.37,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,1.9888,0.1145
2003-01-31,983.05,BAISSE,BAISSE,BAISSE,BAISSE,0,0.0,CONSERVER,1.9888,0.113
2003-02-28,1009.74,HAUSSE,BAISSE,BAISSE,BAISSE,1,0.25,ACHETER,2.0136,0.1186
2003-03-31,1018.66,HAUSSE,BAISSE,BAISSE,BAISSE,1,0.25,CONSERVER,2.0175,0.1195
2003-04-30,1106.06,HAUSSE,HAUSSE,BAISSE,BAISSE,2,0.5,ACHETER,2.1919,0.1402
2003-05-30,1197.89,HAUSSE,HAUSSE,HAUSSE,BAISSE,3,0.75,ACHETER,2.466,0.1636
2003-06-30,1201.69,HAUSSE,HAUSSE,HAUSSE,BAISSE,3,0.75,CONSERVER,2.4698,0.1639
2003-07-31,1276.94,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,ACHETER,2.7742,0.1841
2003-08-29,1341.2,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.0518,0.2025
2003-09-30,1303.7,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,2.8661,0.1902
2003-10-31,1416.39,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.3691,0.2236
2003-11-28,1424.25,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.3937,0.2252
2003-12-31,1467.92,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.5937,0.2385
2004-01-30,1493.08,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.7089,0.2461
2004-02-27,1470.38,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.5899,0.2382
2004-03-31,1438.41,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.4205,0.227
2004-04-30,1401.36,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.2328,0.2145
2004-05-28,1466.22,BAISSE,HAUSSE,HAUSSE,HAUSSE,3,0.75,VENDRE,3.4575,0.2344
2004-06-30,1516.64,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,ACHETER,3.6905,0.2502
2004-07-30,1400.39,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.1343,0.2125
2004-08-31,1368.68,BAISSE,BAISSE,HAUSSE,HAUSSE,2,0.5,VENDRE,3.0584,0.2022
2004-09-30,1412.74,BAISSE,BAISSE,BAISSE,HAUSSE,1,0.25,VENDRE,3.1066,0.2149
2004-10-29,1486.72,BAISSE,BAISSE,BAISSE,HAUSSE,1,0.25,CONSERVER,3.187,0.2372
2004-11-30,1571.5,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,ACHETER,3.5554,0.2646
2004-12-31,1621.12,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.7778,0.2812
2005-01-31,1519.63,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.3113,0.2465
2005-02-28,1511.02,HAUSSE,HAUSSE,HAUSSE,HAUSSE,4,1.0,CONSERVER,3.268,0.2432
2005-03-31,1482.53,HAUSSE,BAISSE,HAUSSE,HAUSSE,3,0.75,VENDRE,3.1726,0.2338
